team,MP,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense_eFG%,Offense_TOV%,Offense_ORB%,Offense_FT/FGA,Defense_eFG%,Defense_TOV%,Defense_ORB%,Defense_FT/FGA,MVP,DPOY,sixth,COY,rounds
1993 Dallas Mavericks,240.6,88.7,0.435,10.2,0.338,78.5,0.448,26.5,0.705,15.0,27.6,20.5,7.9,4.3,17.8,28.1,99.3,24.9,11.0,71.0,-15.2,0.52,-14.68,99.5,114.7,-15.2,99.5,0.299,0.115,0.495,0.455,15.1,31.1,0.21,0.519,13.5,68.1,0.347,0,0,0,0,-1
1993 Minnesota Timberwolves,242.1,79.6,0.466,6.9,0.292,72.7,0.483,27.4,0.798,11.5,26.9,24.4,7.9,5.5,17.3,24.7,98.1,25.8,19.0,63.0,-7.78,0.16,-7.62,103.6,111.8,-8.2,93.8,0.344,0.087,0.535,0.479,15.9,28.7,0.275,0.503,13.5,66.3,0.269,0,0,0,0,-1
1994 Phoenix Suns,240.3,86.3,0.484,12.7,0.33,73.6,0.511,28.1,0.728,14.9,29.9,27.6,9.1,5.6,15.9,20.0,108.2,28.7,56.0,26.0,4.84,-0.17,4.68,111.7,106.8,4.9,96.7,0.325,0.147,0.548,0.509,13.9,35.2,0.236,0.493,13.5,69.3,0.202,0,0,0,0,1
1994 Golden State Warriors,241.2,87.1,0.492,10.5,0.339,76.7,0.512,28.1,0.664,14.4,29.2,26.8,9.8,6.2,17.5,21.8,107.9,25.0,50.0,32.0,1.74,0.01,1.76,108.3,106.5,1.8,99.1,0.322,0.12,0.542,0.512,14.9,32.9,0.214,0.488,14.7,64.4,0.21,0,0,0,0,0
1994 Portland Trail Blazers,240.9,90.6,0.454,9.4,0.353,81.2,0.466,29.2,0.743,15.9,30.0,25.2,9.1,5.0,14.8,22.3,107.3,28.6,47.0,35.0,2.63,-0.04,2.6,108.1,105.5,2.6,98.8,0.323,0.104,0.518,0.472,12.5,34.4,0.24,0.49,14.8,70.8,0.235,0,0,0,0,0
1994 Charlotte Hornets,241.8,86.6,0.476,11.2,0.367,75.4,0.493,26.0,0.764,12.4,30.2,27.0,8.8,4.8,15.4,21.3,106.5,27.6,41.0,41.0,-0.22,-0.01,-0.23,108.4,108.6,-0.2,97.5,0.301,0.129,0.543,0.5,13.6,29.2,0.23,0.492,13.2,67.0,0.205,0,0,1,0,-1
1994 Seattle SuperSonics,240.6,84.2,0.484,8.8,0.335,75.4,0.501,29.0,0.745,14.0,27.2,25.8,12.8,4.5,15.4,23.3,105.9,28.1,63.0,19.0,9.09,-0.41,8.68,111.1,101.5,9.6,95.1,0.344,0.105,0.547,0.501,13.7,34.4,0.256,0.479,18.2,67.3,0.272,0,0,0,0,0
1994 Orlando Magic,240.6,83.9,0.485,13.9,0.347,70.1,0.513,28.6,0.678,14.4,28.7,25.2,8.3,5.6,16.2,20.9,105.7,25.8,50.0,32.0,3.89,-0.21,3.68,110.8,106.7,4.1,95.2,0.341,0.165,0.547,0.514,14.4,33.8,0.231,0.479,13.3,66.3,0.214,0,0,0,0,0
1994 Miami Heat,241.5,84.1,0.464,12.2,0.338,71.9,0.485,27.1,0.785,15.1,29.4,22.6,7.8,4.6,16.0,24.7,103.4,26.0,42.0,40.0,2.67,-0.27,2.4,109.5,106.7,2.8,93.8,0.322,0.145,0.538,0.488,14.3,35.3,0.253,0.479,14.5,69.1,0.284,0,0,0,0,0
1994 New Jersey Nets,241.8,86.8,0.445,8.3,0.327,78.4,0.458,30.4,0.762,15.9,31.2,23.2,8.5,7.0,14.6,20.6,103.2,26.6,45.0,37.0,2.2,-0.08,2.11,107.2,104.9,2.3,95.5,0.351,0.096,0.515,0.461,12.7,34.0,0.267,0.475,13.5,69.1,0.212,0,0,0,0,0
1994 Los Angeles Clippers,241.2,87.4,0.467,10.1,0.303,77.2,0.488,26.0,0.709,13.7,29.4,26.5,9.8,5.1,18.0,21.6,103.0,27.0,27.0,55.0,-5.72,0.44,-5.28,102.9,108.6,-5.7,99.6,0.297,0.116,0.521,0.484,15.4,30.4,0.211,0.494,14.0,64.1,0.213,0,0,0,0,-1
1994 Utah Jazz,241.8,82.1,0.477,6.8,0.32,75.2,0.491,29.0,0.74,12.9,29.1,26.6,9.2,4.4,14.5,24.2,101.9,29.4,53.0,29.0,4.22,-0.12,4.1,108.6,104.1,4.5,93.1,0.354,0.083,0.537,0.49,13.3,31.3,0.262,0.469,14.6,68.4,0.267,0,0,0,0,2
1994 Atlanta Hawks,240.9,85.8,0.461,10.1,0.323,75.7,0.48,25.2,0.752,15.2,29.5,25.1,11.2,5.5,15.3,19.8,101.4,28.7,57.0,25.0,5.27,-0.33,4.94,107.2,101.7,5.5,94.2,0.294,0.118,0.523,0.48,13.6,34.6,0.221,0.475,16.0,67.7,0.185,0,0,0,1,1
1994 Cleveland Cavaliers,242.1,82.1,0.465,9.9,0.362,72.2,0.48,27.5,0.77,13.3,28.7,25.0,8.6,5.2,13.9,20.7,101.2,27.9,47.0,35.0,4.02,-0.39,3.64,109.4,105.1,4.3,91.7,0.335,0.121,0.537,0.487,12.8,31.8,0.258,0.484,14.5,69.0,0.215,0,0,0,0,0
1994 Sacramento Kings,240.9,85.7,0.452,8.9,0.353,76.8,0.464,28.0,0.731,13.7,28.6,24.7,8.2,4.3,16.3,24.1,101.1,26.7,28.0,54.0,-5.77,0.44,-5.32,103.3,109.2,-5.9,97.5,0.326,0.104,0.516,0.471,14.2,30.4,0.239,0.499,14.2,66.4,0.252,0,0,0,0,-1
1994 Houston Rockets,241.2,82.1,0.475,15.7,0.334,66.4,0.508,24.1,0.743,11.3,31.9,25.5,8.7,5.9,16.3,20.1,101.1,28.1,58.0,24.0,4.32,-0.12,4.19,105.9,101.4,4.5,95.0,0.294,0.191,0.545,0.507,15.0,27.6,0.218,0.458,13.3,69.7,0.192,1,1,0,0,4
1994 Indiana Pacers,240.9,79.5,0.486,6.1,0.368,73.4,0.496,29.1,0.738,13.8,29.4,25.1,8.6,5.6,17.6,24.1,101.0,27.2,47.0,35.0,3.45,-0.19,3.26,107.8,104.2,3.6,93.3,0.366,0.077,0.547,0.5,16.0,34.4,0.27,0.471,14.9,68.0,0.267,0,0,0,0,2
1994 Boston Celtics,242.7,86.1,0.472,5.8,0.289,80.2,0.486,24.4,0.73,12.6,29.0,23.5,8.2,5.4,15.1,22.5,100.8,27.8,32.0,50.0,-4.28,0.01,-4.28,104.2,108.7,-4.5,95.6,0.284,0.068,0.521,0.482,13.5,29.3,0.207,0.494,13.7,67.8,0.238,0,0,0,0,-1
1994 Los Angeles Lakers,240.9,89.2,0.45,9.8,0.3,79.4,0.468,24.0,0.717,15.4,26.9,24.2,9.2,5.6,14.6,22.9,100.4,26.5,33.0,49.0,-4.29,0.36,-3.93,104.8,109.3,-4.5,95.5,0.269,0.11,0.503,0.466,12.8,33.2,0.193,0.492,14.3,63.2,0.24,0,0,0,0,-1
1994 Washington Bullets,240.3,83.2,0.468,9.1,0.297,74.2,0.489,26.4,0.748,13.1,26.7,22.2,8.5,3.9,17.1,20.9,100.4,25.8,24.0,58.0,-7.38,0.25,-7.13,104.5,112.2,-7.7,95.9,0.317,0.109,0.529,0.484,15.3,31.2,0.237,0.526,14.0,66.2,0.206,0,0,0,0,-1
1994 Denver Nuggets,240.9,82.7,0.465,7.3,0.285,75.4,0.483,29.5,0.718,13.5,31.2,21.5,8.3,8.4,17.3,23.5,100.3,24.8,42.0,40.0,1.49,0.05,1.54,103.9,102.3,1.6,96.1,0.357,0.088,0.524,0.478,15.3,32.2,0.256,0.453,13.4,69.6,0.252,0,0,0,0,1
1994 San Antonio Spurs,241.2,81.6,0.475,8.7,0.349,72.9,0.49,26.2,0.742,14.5,31.7,23.1,6.8,5.5,14.6,20.3,100.0,29.0,55.0,27.0,5.26,-0.21,5.05,110.4,104.6,5.8,90.1,0.322,0.107,0.537,0.494,13.6,35.6,0.239,0.467,11.7,70.5,0.196,0,0,0,0,0
1994 New York Knicks,240.9,82.1,0.46,11.1,0.348,71.1,0.477,25.6,0.746,14.3,31.0,25.2,9.2,4.7,16.6,24.4,98.5,28.9,57.0,25.0,6.99,-0.5,6.48,105.7,98.2,7.5,92.8,0.311,0.135,0.527,0.483,15.1,34.4,0.232,0.451,16.0,71.4,0.261,0,0,0,0,3
1994 Philadelphia 76ers,241.5,83.2,0.455,11.5,0.338,71.7,0.474,25.8,0.714,12.3,29.2,22.3,8.1,6.4,16.7,18.1,98.0,27.2,25.0,57.0,-7.62,0.25,-7.37,101.7,109.7,-8.0,95.7,0.31,0.138,0.518,0.478,15.0,28.0,0.221,0.502,12.8,66.6,0.177,0,0,0,0,-1
1994 Chicago Bulls,241.2,83.1,0.476,8.0,0.354,75.1,0.489,22.7,0.705,13.9,29.2,25.6,9.0,4.3,15.9,21.3,98.0,27.7,55.0,27.0,3.09,-0.22,2.87,106.1,102.7,3.4,91.9,0.273,0.097,0.526,0.493,14.6,33.8,0.192,0.482,15.3,70.8,0.225,0,0,0,0,1
1994 Milwaukee Bucks,240.3,83.0,0.447,12.4,0.325,70.6,0.469,26.6,0.702,13.7,26.3,23.7,9.8,5.0,16.4,22.2,96.9,26.1,20.0,62.0,-6.48,0.24,-6.24,102.5,109.3,-6.8,94.5,0.32,0.15,0.512,0.471,14.7,31.1,0.225,0.513,15.7,66.5,0.254,0,0,0,0,-1
1994 Detroit Pistons,240.6,85.6,0.452,12.7,0.344,72.9,0.47,20.9,0.731,12.5,28.3,21.5,7.3,3.8,15.1,23.6,96.9,27.5,20.0,62.0,-7.78,0.33,-7.46,102.7,110.9,-8.2,94.2,0.244,0.148,0.511,0.477,13.7,28.4,0.179,0.493,12.8,66.1,0.262,0,0,0,0,-1
1994 Minnesota Timberwolves,240.6,79.7,0.457,6.8,0.329,72.9,0.469,28.1,0.772,12.1,28.6,24.0,7.3,5.4,18.0,24.6,96.7,26.2,20.0,62.0,-6.93,0.38,-6.55,101.9,109.2,-7.3,94.7,0.352,0.085,0.525,0.471,16.4,30.1,0.272,0.488,12.8,68.0,0.259,0,0,0,0,-1
1994 Dallas Mavericks,240.6,86.2,0.432,9.4,0.312,76.8,0.447,23.7,0.747,15.5,26.2,19.9,9.4,3.6,17.0,24.5,95.1,25.3,13.0,69.0,-8.7,0.5,-8.19,100.4,109.6,-9.2,94.5,0.275,0.109,0.492,0.449,15.0,33.7,0.205,0.513,15.8,66.1,0.283,0,0,0,0,-1
1995 Orlando Magic,243.0,84.1,0.502,17.2,0.37,66.9,0.535,30.1,0.669,14.0,30.0,27.8,8.2,6.0,15.8,21.0,110.9,26.6,57.0,25.0,7.06,-0.62,6.44,115.1,107.8,7.3,95.1,0.357,0.205,0.569,0.539,14.0,34.0,0.239,0.49,13.3,68.4,0.22,0,0,0,0,3
1995 Phoenix Suns,241.8,85.0,0.482,19.3,0.369,65.6,0.515,28.7,0.756,12.5,29.3,26.8,8.4,3.8,14.2,22.4,110.6,29.2,59.0,23.0,3.88,-0.02,3.86,114.5,110.4,4.1,95.9,0.338,0.227,0.567,0.524,12.7,29.7,0.255,0.515,14.0,69.8,0.228,0,0,0,0,1
1995 Seattle SuperSonics,241.8,82.2,0.491,15.9,0.376,66.3,0.519,31.3,0.758,13.0,28.5,25.8,11.2,4.8,15.8,25.2,110.4,28.7,57.0,25.0,8.18,-0.27,7.91,114.8,106.3,8.5,95.5,0.38,0.194,0.575,0.527,14.1,32.6,0.288,0.492,16.1,68.7,0.278,0,0,0,0,0
1995 San Antonio Spurs,242.1,81.5,0.484,14.1,0.375,67.4,0.507,30.3,0.738,12.5,32.5,23.4,8.0,5.6,15.2,22.8,106.6,29.0,62.0,20.0,5.96,-0.06,5.9,111.7,105.4,6.3,94.6,0.372,0.173,0.562,0.516,13.8,30.9,0.275,0.485,13.0,72.3,0.214,1,0,0,0,2
1995 Utah Jazz,241.2,77.3,0.512,9.8,0.376,67.5,0.531,30.3,0.781,10.7,29.4,27.5,9.2,4.8,15.7,24.9,106.4,29.6,60.0,22.0,7.99,-0.23,7.76,114.3,105.7,8.6,92.6,0.392,0.126,0.587,0.535,14.8,29.1,0.306,0.496,15.5,72.5,0.292,0,0,0,0,0
1995 Golden State Warriors,242.7,83.8,0.468,19.5,0.341,64.3,0.507,29.2,0.704,13.4,28.9,24.6,7.9,4.8,18.3,22.0,105.7,26.0,26.0,56.0,-5.41,0.51,-4.9,106.7,112.2,-5.5,97.9,0.348,0.233,0.547,0.508,15.9,30.3,0.245,0.522,13.9,66.5,0.216,0,0,0,0,-1
1995 Los Angeles Lakers,242.7,86.4,0.463,18.2,0.352,68.2,0.493,25.3,0.735,13.7,28.2,25.3,9.1,6.9,15.2,23.6,105.1,25.9,48.0,34.0,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,0.292,0.21,0.539,0.5,13.4,31.3,0.215,0.5,14.8,64.4,0.224,0,0,0,1,1
1995 Houston Rockets,240.6,80.2,0.48,21.4,0.368,58.8,0.521,24.9,0.749,10.7,29.8,25.1,8.8,6.3,16.1,20.9,103.5,28.5,47.0,35.0,2.12,0.2,2.32,109.7,107.4,2.3,94.2,0.31,0.267,0.568,0.529,15.0,26.9,0.232,0.489,13.9,67.7,0.199,0,0,0,0,4
1995 Dallas Mavericks,243.0,89.5,0.44,14.6,0.322,74.9,0.463,27.0,0.734,18.5,29.7,23.7,7.1,4.2,16.4,22.1,103.2,24.3,36.0,46.0,-2.9,0.51,-2.39,107.6,110.6,-3.0,94.7,0.301,0.163,0.509,0.466,13.9,38.9,0.221,0.519,13.7,69.8,0.208,0,0,0,0,-1
1995 Portland Trail Blazers,240.3,87.0,0.451,15.4,0.365,71.6,0.469,27.2,0.697,16.5,29.8,22.5,8.1,5.7,14.8,24.7,103.1,29.3,44.0,38.0,3.82,-0.02,3.8,109.7,105.7,4.0,93.8,0.313,0.177,0.521,0.483,13.0,37.1,0.218,0.491,14.8,73.5,0.277,0,0,0,0,0
1995 Boston Celtics,241.5,83.5,0.464,12.0,0.368,71.5,0.48,27.7,0.753,14.1,28.3,21.7,7.5,4.4,15.9,24.1,102.8,27.2,35.0,47.0,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,0.331,0.144,0.537,0.491,14.3,33.1,0.249,0.512,13.6,68.6,0.235,0,0,0,0,0
1995 Chicago Bulls,241.8,81.8,0.476,14.5,0.373,67.4,0.498,25.2,0.726,13.5,28.0,24.0,9.7,4.3,15.8,23.9,101.5,28.1,47.0,35.0,4.83,-0.51,4.32,109.5,104.3,5.2,92.0,0.308,0.177,0.546,0.509,14.5,32.9,0.224,0.488,16.7,68.2,0.263,0,0,0,0,1
1995 Denver Nuggets,243.7,78.8,0.479,14.1,0.356,64.6,0.507,28.1,0.738,12.7,29.3,22.4,8.0,7.1,16.8,25.2,101.3,26.6,41.0,41.0,0.84,0.11,0.96,109.1,108.2,0.9,91.5,0.357,0.18,0.556,0.511,15.6,32.0,0.263,0.487,13.2,70.2,0.257,0,1,0,0,0
1995 Miami Heat,241.5,82.2,0.467,14.4,0.369,67.8,0.487,26.0,0.736,13.3,27.7,21.7,8.1,3.6,15.7,24.4,101.1,27.1,32.0,50.0,-1.63,-0.21,-1.85,108.2,109.9,-1.7,92.9,0.317,0.175,0.54,0.499,14.4,31.7,0.233,0.51,14.9,68.7,0.264,0,0,0,0,-1
1995 Charlotte Hornets,241.5,78.5,0.474,17.2,0.397,61.3,0.495,24.9,0.777,10.1,29.2,25.3,7.6,4.9,14.9,20.5,100.6,28.0,50.0,32.0,3.28,-0.41,2.87,109.6,106.1,3.5,91.2,0.317,0.219,0.562,0.517,14.3,26.0,0.247,0.485,13.8,68.5,0.202,0,0,0,0,0
1995 Washington Bullets,242.1,84.1,0.46,15.4,0.343,68.7,0.487,24.5,0.724,12.7,27.1,21.3,7.9,4.9,15.9,23.8,100.5,24.5,21.0,61.0,-5.6,0.04,-5.56,105.4,111.3,-5.9,94.5,0.292,0.183,0.529,0.492,14.3,29.3,0.211,0.512,14.9,66.7,0.262,0,0,0,0,-1
1995 Milwaukee Bucks,242.1,80.3,0.459,16.5,0.366,63.9,0.483,27.5,0.712,13.0,26.7,21.2,8.2,4.4,17.0,22.7,99.3,25.7,34.0,48.0,-4.37,0.07,-4.3,106.2,110.9,-4.7,92.7,0.343,0.205,0.537,0.496,15.5,31.3,0.244,0.53,15.3,68.3,0.23,0,0,0,0,-1
1995 Indiana Pacers,241.2,76.2,0.477,12.0,0.38,64.2,0.496,29.1,0.751,12.8,27.9,22.9,8.6,4.4,16.3,23.6,99.2,28.7,52.0,30.0,3.7,-0.34,3.35,109.6,105.6,4.0,90.0,0.383,0.158,0.557,0.507,15.5,32.8,0.287,0.493,15.8,68.6,0.237,0,0,0,0,2
1995 New York Knicks,241.2,78.0,0.467,17.6,0.368,60.3,0.496,25.8,0.734,11.3,30.2,25.1,7.2,4.7,15.9,25.6,98.2,29.4,55.0,27.0,3.11,-0.33,2.78,107.2,103.8,3.4,91.2,0.331,0.226,0.55,0.508,15.1,28.6,0.243,0.468,14.4,70.8,0.281,0,0,1,0,1
1995 Sacramento Kings,242.1,78.8,0.468,12.6,0.346,66.2,0.491,28.3,0.711,13.1,28.4,22.2,7.9,5.6,17.7,24.9,98.2,26.4,39.0,43.0,-1.0,0.26,-0.74,105.5,106.5,-1.0,92.3,0.359,0.16,0.538,0.496,16.2,32.1,0.255,0.481,15.0,67.0,0.28,0,0,0,0,-1
1995 Detroit Pistons,240.6,80.9,0.461,17.0,0.354,63.9,0.49,23.7,0.741,11.7,26.9,22.8,8.6,5.1,16.1,26.2,98.2,26.9,28.0,54.0,-7.29,0.21,-7.08,105.1,112.9,-7.8,93.2,0.293,0.21,0.538,0.499,15.0,28.3,0.217,0.51,14.2,65.8,0.299,0,0,0,0,-1
1995 New Jersey Nets,242.4,82.2,0.436,15.8,0.319,66.4,0.464,28.1,0.759,14.8,31.3,23.0,6.6,6.7,15.9,22.5,98.1,27.5,30.0,52.0,-3.13,-0.14,-3.28,105.2,108.6,-3.4,92.3,0.342,0.192,0.519,0.467,14.4,33.3,0.26,0.493,12.4,70.9,0.217,0,0,0,0,-1
1995 Los Angeles Clippers,242.4,84.0,0.444,12.8,0.315,71.2,0.468,25.4,0.71,13.0,25.3,22.0,9.6,5.3,16.3,26.2,96.7,24.9,17.0,65.0,-9.16,0.73,-8.43,101.5,111.1,-9.6,94.3,0.302,0.153,0.508,0.468,14.6,29.6,0.214,0.526,16.6,65.7,0.29,0,0,0,0,-1
1995 Atlanta Hawks,242.1,81.5,0.447,19.3,0.341,62.2,0.48,23.8,0.724,13.5,27.7,21.4,9.0,5.0,14.9,22.0,96.6,28.2,42.0,40.0,1.28,-0.22,1.06,106.6,105.2,1.4,89.8,0.292,0.237,0.525,0.487,13.9,31.6,0.211,0.495,15.6,68.4,0.215,0,0,0,0,0
1995 Philadelphia 76ers,241.5,80.2,0.448,11.4,0.379,68.8,0.46,25.9,0.737,13.5,27.2,19.1,7.8,7.0,16.5,22.4,95.4,25.1,24.0,58.0,-5.07,0.01,-5.06,104.1,109.7,-5.6,91.0,0.323,0.142,0.521,0.475,15.3,32.3,0.238,0.5,14.6,66.1,0.235,0,0,0,0,-1
1995 Minnesota Timberwolves,241.2,75.8,0.449,12.4,0.313,63.5,0.475,28.7,0.775,10.8,25.5,21.7,7.4,4.9,17.1,25.3,94.2,25.4,21.0,61.0,-9.0,0.78,-8.22,102.6,112.4,-9.8,91.4,0.379,0.163,0.532,0.475,16.2,27.7,0.293,0.51,14.8,64.1,0.28,0,0,0,0,-1
1995 Cleveland Cavaliers,243.0,76.3,0.441,12.6,0.385,63.7,0.452,24.2,0.76,12.7,27.3,20.4,7.7,4.3,14.3,20.7,90.5,28.3,43.0,39.0,0.62,-0.07,0.55,105.3,104.6,0.7,84.8,0.317,0.165,0.52,0.472,14.2,31.8,0.241,0.493,15.0,72.4,0.224,0,0,0,0,0
1996 Chicago Bulls,240.6,84.0,0.478,16.5,0.403,67.6,0.496,24.4,0.746,15.2,29.4,24.8,9.1,4.2,14.3,22.0,105.2,29.9,72.0,10.0,12.24,-0.44,11.8,115.2,101.8,13.4,91.1,0.291,0.196,0.555,0.517,13.1,36.9,0.217,0.482,16.1,71.1,0.222,1,0,1,1,4
1996 Seattle SuperSonics,242.4,78.1,0.48,19.5,0.364,58.6,0.519,29.6,0.76,11.6,29.9,24.4,10.8,4.8,17.6,24.0,104.5,29.6,64.0,18.0,7.79,-0.4,7.4,110.3,102.1,8.2,93.8,0.379,0.249,0.574,0.526,16.2,29.7,0.288,0.479,16.7,69.5,0.252,0,1,0,0,3
1996 Orlando Magic,242.1,81.0,0.482,20.1,0.378,60.9,0.517,27.2,0.691,11.8,29.3,25.4,8.1,5.0,14.1,20.8,104.5,27.7,60.0,22.0,5.56,-0.16,5.4,112.9,106.9,6.0,91.8,0.336,0.248,0.562,0.529,13.2,29.0,0.232,0.491,14.0,68.8,0.223,0,0,0,0,2
1996 Phoenix Suns,243.4,81.4,0.473,12.0,0.332,69.4,0.498,30.1,0.771,12.3,30.5,24.4,7.6,4.0,14.7,21.7,104.3,27.9,41.0,41.0,0.33,-0.05,0.28,110.3,110.0,0.3,93.2,0.37,0.147,0.551,0.498,13.5,29.8,0.286,0.511,13.3,71.4,0.225,0,0,0,0,0
1996 Boston Celtics,242.7,84.7,0.456,17.7,0.371,66.9,0.478,27.9,0.714,12.8,29.6,21.9,8.0,5.0,15.9,24.9,103.6,26.3,33.0,49.0,-3.4,0.03,-3.37,106.4,109.9,-3.5,96.2,0.329,0.209,0.534,0.494,14.1,28.8,0.235,0.511,14.3,70.0,0.258,0,0,0,0,-1
1996 San Antonio Spurs,241.2,80.5,0.477,16.1,0.392,64.4,0.498,27.6,0.736,11.4,31.5,24.9,7.9,6.5,14.6,22.2,103.4,29.4,59.0,23.0,6.3,-0.33,5.98,110.2,103.5,6.7,93.3,0.342,0.2,0.558,0.516,13.6,27.5,0.252,0.472,13.9,70.0,0.216,0,0,0,0,1
1996 Los Angeles Lakers,240.0,81.8,0.48,16.6,0.351,65.2,0.512,25.0,0.746,12.1,28.1,25.4,8.8,6.3,14.2,20.8,102.9,27.1,53.0,29.0,4.45,-0.24,4.21,111.4,106.6,4.8,92.4,0.306,0.203,0.555,0.515,13.3,30.1,0.228,0.491,14.9,66.8,0.205,0,0,0,0,0
1996 Charlotte Hornets,242.4,80.7,0.47,18.5,0.384,62.2,0.495,25.8,0.77,12.0,27.5,23.3,7.1,3.4,15.1,22.1,102.8,27.8,41.0,41.0,-0.57,0.09,-0.48,111.2,111.8,-0.6,91.6,0.32,0.23,0.558,0.514,14.1,29.5,0.246,0.529,13.9,70.3,0.217,0,0,0,0,-1
1996 Washington Bullets,241.5,80.7,0.484,14.8,0.407,65.9,0.501,25.3,0.728,11.3,28.4,22.1,7.2,6.2,16.2,24.2,102.5,24.8,39.0,43.0,1.06,-0.07,0.99,108.7,107.6,1.1,93.7,0.314,0.183,0.558,0.521,15.0,28.2,0.228,0.489,15.0,67.8,0.274,0,0,0,0,-1
1996 Utah Jazz,241.2,78.3,0.488,12.4,0.372,65.9,0.509,28.1,0.768,12.1,28.9,26.1,8.1,5.1,14.8,25.0,102.5,29.5,55.0,27.0,6.59,-0.34,6.25,113.3,106.1,7.2,90.0,0.359,0.158,0.566,0.517,14.1,31.6,0.276,0.489,15.1,71.7,0.295,0,0,0,0,2
1996 Houston Rockets,241.5,81.0,0.464,21.5,0.362,59.5,0.501,25.7,0.765,11.2,29.9,24.2,7.9,5.8,15.2,21.4,102.5,29.0,48.0,34.0,1.74,-0.12,1.63,109.3,107.4,1.9,93.2,0.317,0.265,0.555,0.512,14.1,26.9,0.243,0.495,13.6,68.6,0.206,0,0,0,0,1
1996 Dallas Mavericks,243.0,90.6,0.42,24.9,0.36,65.8,0.443,24.1,0.722,17.2,29.0,23.3,7.8,4.2,15.5,22.4,102.5,25.1,26.0,56.0,-4.9,0.19,-4.71,106.1,111.2,-5.1,95.4,0.266,0.274,0.507,0.47,13.3,34.1,0.192,0.526,14.7,68.6,0.222,0,0,0,0,-1
1996 Golden State Warriors,240.9,81.7,0.456,14.6,0.373,67.1,0.474,28.5,0.759,14.3,27.9,23.0,8.6,5.7,16.4,22.4,101.6,27.0,36.0,46.0,-1.45,0.03,-1.42,108.4,109.9,-1.5,93.4,0.349,0.179,0.539,0.489,14.8,33.9,0.265,0.51,15.2,67.2,0.232,0,0,0,0,-1
1996 Sacramento Kings,240.9,79.2,0.457,14.6,0.387,64.6,0.473,29.4,0.731,13.6,28.6,22.3,7.8,5.3,17.6,26.0,99.5,26.6,39.0,43.0,-2.71,0.09,-2.62,106.2,109.1,-2.9,93.4,0.371,0.184,0.54,0.493,16.0,32.5,0.271,0.498,15.1,69.0,0.302,0,0,0,0,0
1996 Los Angeles Clippers,240.6,80.7,0.472,16.8,0.37,64.0,0.499,24.2,0.702,11.9,26.7,20.4,8.6,5.0,16.5,24.5,99.4,25.2,29.0,53.0,-3.6,0.13,-3.46,106.5,110.3,-3.8,93.2,0.3,0.208,0.544,0.511,15.3,29.3,0.21,0.512,15.2,67.9,0.282,0,0,0,0,-1
1996 Indiana Pacers,240.9,75.7,0.48,11.9,0.373,63.8,0.5,29.5,0.755,12.3,27.6,23.4,7.1,3.9,16.3,24.8,99.3,29.4,52.0,30.0,3.24,-0.14,3.11,110.8,107.2,3.6,89.3,0.389,0.157,0.56,0.509,15.5,33.0,0.294,0.491,14.7,69.3,0.271,0,0,0,0,0
1996 Portland Trail Blazers,242.7,81.6,0.458,16.6,0.353,65.0,0.485,28.3,0.662,14.1,31.4,21.5,7.2,5.1,16.8,22.7,99.3,28.1,44.0,38.0,2.35,-0.14,2.21,106.0,103.5,2.5,92.6,0.347,0.203,0.528,0.494,15.2,33.4,0.23,0.478,13.5,73.4,0.236,0,0,0,0,0
1996 Atlanta Hawks,240.6,81.3,0.448,19.5,0.355,61.8,0.477,24.5,0.757,14.4,26.2,19.6,9.4,3.9,15.0,20.9,98.3,28.1,46.0,36.0,1.22,0.07,1.29,109.4,108.0,1.4,89.6,0.302,0.239,0.534,0.49,14.0,34.0,0.229,0.512,16.3,67.1,0.217,0,0,0,0,1
1996 Minnesota Timberwolves,241.2,79.0,0.459,10.5,0.326,68.6,0.479,28.2,0.777,12.0,27.7,22.8,7.9,5.9,17.4,24.3,97.9,26.4,26.0,56.0,-5.35,0.22,-5.14,104.1,109.8,-5.7,93.5,0.357,0.132,0.535,0.48,16.0,29.8,0.277,0.509,15.0,68.7,0.267,0,0,0,0,-1
1996 Denver Nuggets,241.8,81.2,0.451,14.0,0.346,67.2,0.473,26.5,0.743,12.9,30.3,22.6,6.4,7.3,15.4,23.0,97.7,26.8,35.0,47.0,-2.71,0.09,-2.62,105.2,108.1,-2.9,92.2,0.326,0.172,0.526,0.481,14.2,30.7,0.242,0.492,12.8,72.7,0.237,0,0,0,0,-1
1996 Toronto Raptors,241.8,80.5,0.467,14.2,0.354,66.2,0.492,23.8,0.723,13.1,27.0,23.5,9.1,6.0,18.8,24.2,97.5,26.1,21.0,61.0,-7.51,0.31,-7.2,103.8,111.8,-8.0,93.2,0.296,0.177,0.536,0.499,17.2,32.0,0.214,0.514,14.7,66.8,0.272,0,0,0,0,-1
