team,MP,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense_eFG%,Offense_TOV%,Offense_ORB%,Offense_FT/FGA,Defense_eFG%,Defense_TOV%,Defense_ORB%,Defense_FT/FGA,MVP,DPOY,sixth,COY,rounds
2010 Utah Jazz,240.9,80.2,0.491,14.7,0.364,65.5,0.519,27.2,0.741,10.6,31.6,26.7,8.2,4.9,15.2,22.7,104.2,25.6,53.0,29.0,5.34,-0.01,5.33,110.7,105.0,5.7,93.8,0.34,0.184,0.565,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,0,0,0,0,1
2010 Toronto Raptors,241.2,80.9,0.482,17.0,0.371,63.8,0.512,25.8,0.764,9.8,30.6,22.0,5.7,4.7,13.4,22.2,104.1,25.2,40.0,42.0,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,0.319,0.211,0.564,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,0,0,0,0,-1
2010 Orlando Magic,240.6,78.0,0.47,27.3,0.375,50.6,0.521,26.5,0.724,9.9,33.4,19.7,6.2,5.6,14.1,19.9,102.8,27.9,59.0,23.0,7.49,-0.37,7.12,111.4,103.3,8.1,92.0,0.34,0.35,0.573,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.205,0,1,0,0,2
2010 Memphis Grizzlies,242.7,83.8,0.469,12.4,0.337,71.4,0.492,26.9,0.733,13.0,30.4,18.8,7.9,4.9,15.2,20.2,102.5,24.1,40.0,42.0,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,0.32,0.148,0.536,0.494,13.7,31.3,0.235,0.52,13.2,73.3,0.205,0,0,0,0,-1
2010 Houston Rockets,242.7,84.4,0.447,22.4,0.351,62.0,0.481,24.7,0.772,11.8,30.1,21.8,7.1,3.9,14.5,20.9,102.4,26.0,42.0,40.0,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,0.292,0.265,0.537,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,0,0,0,0,-1
2010 Cleveland Cavaliers,241.2,77.9,0.485,19.3,0.381,58.6,0.52,26.6,0.72,9.6,32.8,22.4,6.9,5.2,13.9,19.4,102.1,28.0,61.0,21.0,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,1,0,0,0,1
2010 New York Knicks,242.4,83.9,0.455,26.2,0.346,57.7,0.504,21.5,0.782,10.2,30.2,21.6,7.1,3.7,14.0,20.0,102.1,25.4,29.0,53.0,-3.82,-0.19,-4.01,107.6,111.6,-4.0,94.0,0.256,0.312,0.547,0.509,13.0,23.5,0.2,0.526,13.3,72.1,0.207,0,0,0,0,-1
2010 Dallas Mavericks,242.4,82.4,0.464,18.3,0.372,64.2,0.491,22.8,0.816,10.2,31.5,23.4,7.6,5.5,12.9,19.1,102.0,30.7,55.0,27.0,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,0.277,0.222,0.552,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.206,0,0,0,0,0
2010 Los Angeles Lakers,241.8,83.8,0.457,19.0,0.341,64.8,0.492,24.2,0.765,11.9,32.5,21.1,7.5,4.9,13.4,19.4,101.7,28.4,57.0,25.0,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.227,0.538,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,0,0,0,0,4
2010 Atlanta Hawks,242.1,82.9,0.468,17.7,0.36,65.2,0.497,23.3,0.759,11.8,29.9,21.8,7.2,5.0,12.0,19.9,101.7,26.5,53.0,29.0,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,0,0,1,0,1
2010 Oklahoma City Thunder,241.5,80.8,0.462,15.0,0.34,65.9,0.49,27.0,0.805,11.7,31.8,20.0,8.0,5.9,15.0,21.3,101.5,23.2,50.0,32.0,3.49,0.06,3.55,108.3,104.6,3.7,93.1,0.333,0.185,0.547,0.494,13.9,28.6,0.268,0.483,14.0,73.6,0.229,0,0,0,1,0
2010 San Antonio Spurs,241.2,81.2,0.473,18.9,0.358,62.3,0.508,24.0,0.74,10.8,32.0,22.3,6.3,4.6,13.6,20.4,101.4,28.7,50.0,32.0,5.09,-0.02,5.07,110.0,104.5,5.5,91.7,0.296,0.232,0.552,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,0,0,0,0,1
2010 Indiana Pacers,240.3,83.2,0.443,23.1,0.348,60.1,0.479,24.6,0.775,9.6,31.9,21.1,7.1,5.4,15.0,22.5,100.8,26.6,32.0,50.0,-3.01,-0.1,-3.11,103.7,106.8,-3.1,97.1,0.296,0.278,0.536,0.491,13.8,21.6,0.229,0.49,13.4,73.0,0.258,0,0,0,0,-1
2010 New Orleans Hornets,241.8,83.4,0.464,19.2,0.363,64.3,0.495,20.3,0.778,10.4,29.9,22.3,7.6,3.7,13.5,19.6,100.2,27.5,37.0,45.0,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,0.243,0.23,0.543,0.506,12.7,24.8,0.189,0.523,13.5,73.8,0.205,0,0,0,0,-1
2010 Sacramento Kings,242.4,84.1,0.456,16.9,0.349,67.2,0.483,24.0,0.726,11.9,30.7,20.5,6.9,4.5,15.0,22.3,100.0,24.1,25.0,57.0,-4.37,0.3,-4.06,105.3,109.9,-4.6,94.0,0.286,0.201,0.528,0.491,13.6,27.8,0.207,0.505,12.6,73.5,0.244,0,0,0,0,-1
2010 Boston Celtics,241.2,76.8,0.483,17.5,0.348,59.3,0.523,25.5,0.746,8.7,29.9,23.5,8.5,4.9,14.9,22.1,99.2,29.4,50.0,32.0,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,0,0,0,0,3
2010 Minnesota Timberwolves,241.2,84.4,0.449,14.4,0.341,70.0,0.471,23.5,0.746,11.7,31.2,19.8,7.3,3.7,16.3,20.7,98.2,24.1,15.0,67.0,-9.6,0.54,-9.06,101.7,111.6,-9.9,96.1,0.278,0.171,0.518,0.478,14.6,26.7,0.207,0.525,13.0,73.6,0.22,0,0,0,0,-1
2010 Portland Trail Blazers,242.1,78.7,0.461,16.9,0.354,61.8,0.49,24.8,0.79,11.1,29.1,20.4,6.4,4.3,12.3,20.9,98.1,26.6,50.0,32.0,3.3,-0.13,3.18,110.8,107.1,3.7,87.7,0.315,0.215,0.547,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.219,0,0,0,0,0
2010 Milwaukee Bucks,243.7,85.3,0.436,22.1,0.356,63.2,0.464,20.4,0.755,11.8,31.2,21.2,7.1,4.7,13.2,22.2,97.7,26.4,46.0,36.0,1.7,-0.32,1.37,104.9,103.1,1.8,91.7,0.239,0.259,0.518,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,0,0,0,0,0
